,strain,id,flavors,positive,medical,Type,Rating,Flavor
129,Black Russian,282,"Citrus, Earthy, Lemon","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Stress, Lack of Appetite, Nausea, Fatigue",indica,4.3,"Citrus,Berry,Earthy"
130,Black Tuna,283,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.5,"Earthy,Woody,Skunk"
131,Black Velvet,284,"Sweet, Pine, Flowery","Relaxed, Hungry, Happy, Sleepy, Giggly","Depression, Pain, Lack of Appetite, Nausea, Eye Pressure",hybrid,3.9,"Sweet,Flowery,Citrus"
132,Black Widow,285,"Woody, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.1,"Earthy,Sweet,Pungent"
133,Blackberry,286,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.2,"Berry,Sweet,Earthy"
134,Blackberry Bubble,287,"Berry, Blueberry, Skunk","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Inflammation, Muscle Spasms",indica,4.7,"Berry,Blueberry,Skunk"
135,Blackberry Cream,289,"Berry, Sweet, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.8,"Berry,Sweet,Vanilla"
136,Blackberry Diesel,290,"Diesel, Pungent, Berry","Relaxed, Hungry, Happy, Talkative, Sleepy","Depression, Stress, Lack of Appetite, Headache, Headaches, Eye Pressure",sativa,4.1,"Diesel,Spicy/Herbal,Pungent"
137,Blackberry Dream,291,"Chemical, Grapefruit, Nutty","Relaxed, Creative, Energetic, Uplifted, Giggly","Depression, Pain, Seizures, Muscle Spasms",hybrid,4.2,"Spicy/Herbal,Sweet,Grapefruit"
138,Blackberry Hashplant,293,"Berry, Earthy, Nutty","Euphoric, Happy, Energetic, Uplifted, Sleepy","Insomnia, Pain, Stress, Nausea, Headache, Fatigue",indica,3.7,"Berry,Sweet,Earthy"
139,Blackberry Haze,294,"Berry, Sweet, Lemon","Relaxed, Hungry, Happy, Uplifted, Tingly","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.5,"Berry,Sweet,Spicy/Herbal"
140,Blackberry Kush,295,"Berry, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Berry,Sweet,Earthy"
141,Blackberry Lime Haze,296,"Berry, Lime, Sweet","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.7,"Berry,Sweet,Lime"
142,Blackberry Pie,297,"Sweet, Blueberry, Berry","Relaxed, Hungry, Euphoric, Happy, Creative","Pain, Cramps, Nausea, Inflammation",hybrid,4.7,"Sweet,Blueberry,Berry"
143,Blackberry Rhino,298,"Berry, Sweet, Spicy/Herbal","Relaxed, Hungry, Happy, Creative","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.3,"Berry,Sweet,Spicy/Herbal"
144,Blackberry Trainwreck,299,"Berry, Sweet, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.3,"Berry,Sweet,Pungent"
145,Blackwater,301,"Earthy, Grape, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.6,"Earthy,Berry,Grape"
146,Blaze,302,"Blueberry, Berry, Sweet","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Inflammation",sativa,4.3,"Blueberry,Sweet,Berry"
147,Blissful Wizard,303,"Sweet, Vanilla, Earthy","Relaxed, Euphoric, Happy, Creative, Talkative","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.8,"Earthy,Vanilla,Pungent"
148,Blockhead,305,"Lime, Earthy, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.2,"Pungent,Woody,Flowery"
149,Bloodhound,307,"Earthy, Chestnut, Sage","Relaxed, Hungry, Happy, Talkative, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.2,"Earthy,Sage,Spicy/Herbal"
150,Blowfish,308,"Pine, Earthy, Sage","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms",hybrid,4.2,"Spicy/Herbal,Pepper,Sage"
151,Blucifer,309,"Blueberry, Berry, Minty","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Lack of Appetite, Nausea, Headaches",sativa,4.3,"Blueberry,Spicy/Herbal,Berry"
152,Blue Afghani,310,"Blueberry, Woody, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Lack of Appetite, Nausea, Fatigue, Headaches",indica,4.4,"Blueberry,Woody,Pungent"
153,Blue Alien,311,"Blueberry, Earthy, Pine","Relaxed, Hungry, Euphoric, Sleepy","Insomnia, Pain, Stress, Fatigue, Inflammation",indica,4.5,"Blueberry,Berry,Citrus"
154,Blue Bastard,312,"Berry, Pine","Euphoric, Happy, Creative, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,3.8,"Berry,Pine"
155,Blue Bayou,313,Sweet,"Hungry, Happy, Creative, Uplifted, Giggly","Depression, Stress, Nausea, Headache",sativa,2.8,Sweet
156,Blue Blood,314,"Blueberry, Earthy, Sweet","Relaxed, Euphoric, Happy, Creative, Sleepy","Depression, Pain, Stress, Inflammation, Muscle Spasms",indica,4.2,"Sweet,Blueberry,Earthy"
157,Blue Boy,315,"Earthy, Sweet, Pungent","Happy, Creative, Talkative, Uplifted, Giggly","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",hybrid,4.1,"Earthy,Pungent,Flowery"
158,Blue Buddha,316,"Blueberry, Citrus, Pungent","Relaxed, Happy, Creative","Depression, Insomnia, Lack of Appetite, Headaches, Seizures",indica,4.9,"Blueberry,Citrus,Cheese"
159,Blue Cheese,318,"Blue Cheese, Cheese, Blueberry","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Blue,Cheese,Cheese,Blueberry"
160,Blue Cinex,319,"Blueberry, Earthy","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.7,"Blueberry,Earthy"
161,Blue Cookies,320,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Berry,Blueberry,Sweet"
162,Blue Crack,321,"Berry, Sweet, Blueberry","Relaxed, Happy, Energetic, Talkative, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.2,"Blueberry,Sweet,Berry"
163,Blue Diamond,322,"Sweet, Earthy, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Headache, Headaches, Eye Pressure",indica,4.4,"Sweet,Tree,Fruit,Pineapple"
164,Blue Diesel,323,"Blueberry, Diesel, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Inflammation",hybrid,4.4,"Blueberry,Diesel,Berry"
165,Blue Dot,324,"Earthy, Pungent, Berry","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.7,"Earthy,Pungent,Berry"
166,Blue Dragon,325,"Blueberry, Berry, Diesel","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.4,"Blueberry,Berry,Sweet"
167,Blue Dream,326,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.4,"Blueberry,Berry,Sweet"
168,Blue Dynamite,327,"Earthy, Sweet, Blueberry","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Berry,Spicy/Herbal,Pine"
169,Blue Frost,328,"Sweet, Cheese, Berry","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.5,"Blueberry,Cheese,Menthol"
170,Blue Galaxy,329,"Sweet, Berry, Blueberry","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Headaches",hybrid,4.7,"Berry,Earthy,Blueberry"
171,Blue God,330,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",indica,4.7,"Berry,Sweet,Blueberry"
172,Blue Goo,331,"Berry, Pine, Flowery","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.1,"Berry,Skunk,Pine"
173,Blue Hash,332,"Blueberry, Sweet, Earthy","Relaxed, Hungry, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.4,"Sweet,Blueberry,Earthy"
174,Blue Hawaiian,333,"Sweet, Blueberry, Tropical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Nausea, Headache, Fatigue, Headaches",hybrid,4.3,"Citrus,Earthy,Sweet"
175,Blue Haze,334,"Blueberry, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.3,"Blueberry,Sweet,Flowery"
176,Blue Heron,335,"Woody, Pine, Spicy/Herbal","Relaxed, Happy, Talkative, Uplifted, Giggly","Insomnia, Pain, Stress, Cramps, Headaches",hybrid,4.7,"Woody,Spicy/Herbal,Pine"
177,Blue Ivy,336,"Earthy, Pepper, Blueberry","Relaxed, Hungry, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.4,"Earthy,Pepper,Blueberry"
178,Blue Jay Way,337,"Sweet, Citrus, Blueberry","Relaxed, Euphoric, Uplifted, Sleepy, Focused","Insomnia, Pain, Stress, Cramps, Headaches",hybrid,4.5,"Sweet,Citrus,Blueberry"
179,Blue Kiss,338,"Berry, Blueberry, Flowery","Relaxed, Euphoric, Creative, Talkative, Focused","Stress, Lack of Appetite, Nausea, Headaches",hybrid,4.7,"Sweet,Berry,Blueberry"
