,strain,id,flavors,positive,medical,Type,Rating,Flavor
180,Blue Knight,339,"Sweet, Blueberry, Berry","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Headaches",indica,4.7,"Berry,Blueberry,Sweet"
181,Blue Kripple,340,"Earthy, Grape","Relaxed, Hungry, Euphoric, Sleepy","Pain, Muscle Spasms",indica,3.4,"Earthy,Grape"
182,Blue Kush,341,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.5,"Blueberry,Pine,Lemon"
183,Blue Lights,342,"Blueberry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.5,"Blueberry,Earthy,Berry"
184,Blue Magic,343,"Blueberry, Tropical, Sweet","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Stress, Fatigue, Spasticity, Muscle Spasms",sativa,4.6,"Citrus,Lemon,Tropical"
185,Blue Magoo,344,"Sweet, Earthy, Blueberry","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Earthy,Sweet,Pungent"
186,Blue Monster,345,"Berry, Blueberry, Diesel","Relaxed, Hungry, Happy, Talkative","Depression, Insomnia, Pain, Stress, Headache",indica,4.7,"Berry,Sweet,Diesel"
187,Blue Moon Rocks,346,"Flowery, Lemon, Blueberry","Relaxed, Happy, Giggly","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.6,"Berry,Strawberry,Lavender"
188,Blue Moonshine,347,"Earthy, Berry, Pine","Relaxed, Euphoric, Happy","Depression, Insomnia, Stress, Lack of Appetite, Nausea, Headache",indica,4.2,"Earthy,Berry,Woody"
189,Blue Mountain Fire,348,"Earthy, Flowery, Pepper","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Stress",sativa,4.0,"Flowery,Earthy,Tar"
190,Blue Mystic,349,"Earthy, Blueberry, Sweet","Relaxed, Happy, Energetic, Uplifted, Sleepy","Depression, Pain, Nausea, Fatigue, Headaches",indica,4.2,"Blueberry,Earthy,Sweet"
191,Blue Nightmare,350,"Berry, Earthy, Sage","Relaxed, Euphoric, Creative, Talkative, Uplifted","Depression, Insomnia, Stress, Nausea, Headaches",hybrid,4.7,"Berry,Earthy,Blueberry"
192,Blue Ox,353,"Berry, Blueberry, Coffee","Relaxed, Euphoric, Sleepy, Giggly","Depression, Pain, Lack of Appetite, Fatigue",indica,4.5,"Berry,Flowery,Blueberry"
194,Blue Power,355,"Berry, Earthy, Chemical","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Stress, Lack of Appetite, Nausea, Headache",indica,4.7,"Berry,Earthy,Sweet"
195,Blue Rhino,356,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.3,"Blueberry,Sweet,Berry"
196,Blue Satellite,357,"Sweet, Blueberry, Plum","Euphoric, Happy, Creative, Energetic, Focused","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,3.9,"Sweet,Blueberry,Citrus"
197,Blue Sky,358,"Earthy, Sweet, Blueberry","Relaxed, Happy, Creative, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Nausea, Inflammation",hybrid,4.6,"Earthy,Sweet,Pine"
198,Blue Steel,359,"Blueberry, Pungent","Relaxed, Euphoric, Creative, Uplifted","Pain, Stress, Lack of Appetite",indica,4.3,"Blueberry,Pungent,Earthy"
199,Blue Thai,360,Blueberry,"Relaxed, Happy, Creative, Energetic, Talkative","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,3.7,"Earthy,Pungent,Woody"
200,Blue Treat,363,"Blueberry, Earthy, Apricot","Relaxed, Hungry, Creative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Seizures",hybrid,4.9,"Earthy,Berry,Blueberry"
201,Blue Velvet,364,"Sweet, Berry, Blueberry","Relaxed, Hungry, Happy, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Headache, Fatigue, Headaches",hybrid,4.3,"Sweet,Earthy,Diesel"
202,Blue Venom,365,"Blueberry, Berry, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Pine,Blueberry,Berry"
203,Blue Widow,366,"Earthy, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.2,"Sweet,Berry,Earthy"
204,Blue Wonder,367,Blueberry,"Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Spasticity",hybrid,5.0,Blueberry
205,Blue Wreck,368,"Blueberry, Earthy, Honey","Creative, Energetic, Talkative","Depression, Pain, Stress, Headaches, Spasticity",hybrid,4.7,"Blueberry,Earthy,Honey"
206,Blue Zombie,369,"Pungent, Berry, Coffee","Relaxed, Hungry, Euphoric, Talkative, Aroused","Insomnia, Pain, Cramps, Nausea, Muscle Spasms",indica,4.7,"Pungent,Earthy,Pepper"
207,Blueberry,370,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.3,"Blueberry,Berry,Sweet"
208,Blueberry Blast,372,"Blueberry, Pungent, Sweet","Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Fatigue",sativa,4.4,"Blueberry,Berry,Sweet"
209,Blueberry Cheesecake,373,"Blueberry, Cheese, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.3,"Blueberry,Sweet,Cheese"
210,Blueberry Diesel,374,"Blueberry, Diesel, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Seizures",hybrid,4.2,"Blueberry,Diesel,Sweet"
211,Blueberry Dream,375,"Blueberry, Berry, Earthy","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Fatigue",sativa,4.6,"Sweet,Flowery,Pine"
212,Blueberry Essence,376,"Blueberry, Earthy, Flowery","Relaxed, Euphoric, Happy, Uplifted","Insomnia, Pain, Stress, Headaches, Muscle Spasms",hybrid,4.5,"Blueberry,Sweet,Mango"
213,Blueberry Haze,377,"Blueberry, Berry, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Inflammation",hybrid,4.2,"Blueberry,Berry,Sweet"
214,Blueberry Headband,378,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches",hybrid,4.3,"Blueberry,Berry,Earthy"
215,Blueberry Jack,379,"Blueberry, Pine, Berry","Happy, Talkative, Uplifted, Tingly, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.3,"Blueberry,Pine,Berry"
216,Blueberry Kush,380,"Blueberry, Berry, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Blueberry,Berry,Sweet"
217,Blueberry Lambsbread,381,"Blueberry, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Inflammation",hybrid,4.8,"Blueberry,Sweet,Earthy"
218,Blueberry Muffins,382,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.7,"Blueberry,Earthy,Berry"
219,Blueberry Pancakes,384,"Blueberry, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.5,"Blueberry,Berry,Sweet"
220,Blueberry Pie,385,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.4,"Blueberry,Earthy,Berry"
221,Blueberry Silvertip,386,"Berry, Blueberry, Flowery","Relaxed, Happy, Energetic","Pain, Stress, Fatigue, Headaches, Inflammation",hybrid,4.6,"Blueberry,Berry,Flowery"
222,Blueberry Skunk,387,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Headaches, Muscle Spasms",indica,4.3,"Blueberry,Skunk,Berry"
223,Blueberry Waltz,388,"Blueberry, Sweet, Tropical","Euphoric, Happy, Talkative, Uplifted, Giggly","Depression, Stress",indica,4.8,"Sweet,Blueberry,Tropical"
224,Blueberry Yum Yum,389,"Blueberry, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches",hybrid,4.6,"Blueberry,Sweet,Berry"
225,Blues,390,"Berry, Pungent, Blue Cheese","Hungry, Happy, Talkative, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.0,"Sweet,Earthy,Berry"
226,Bluniverse,392,"Blueberry, Berry, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.7,"Blueberry,Berry,Vanilla"
227,Blurple,393,"Pepper, Tobacco, Sweet","Euphoric, Happy, Energetic, Focused, Giggly","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.3,"Grape,Sweet,Flowery"
228,Blush,394,"Earthy, Honey, Pepper","Hungry, Happy, Creative","Fatigue, Eye Pressure, Muscle Spasms",hybrid,5.0,"Pepper,Honey,Earthy"
229,Bob Saget,395,"Chemical, Sage, Diesel","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Stress, Fatigue, Inflammation, Muscle Spasms",sativa,4.8,"Sage,Chemical,Diesel"
230,Bogart,396,"Citrus, Sweet, Tropical","Happy, Talkative, Uplifted, Sleepy, Giggly","Depression, Pain, Stress, Nausea, Fatigue",hybrid,4.0,"Sweet,Citrus,Tropical"
231,Boggle Gum,397,"Sweet, Earthy, Grape","Relaxed, Hungry, Happy, Sleepy, Giggly","Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation",hybrid,4.0,"Sweet,Earthy,Grape"
232,Booger,398,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.7,"Earthy,Skunk,Diesel"
233,Bootlegger,400,"Earthy, Pungent, Skunk","Hungry, Euphoric, Sleepy, Giggly","Stress, Cramps, Headaches",hybrid,0.0,"Sweet,Earthy,Pungent"
234,Bordello,401,"Sweet, Citrus, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.5,"Sweet,Citrus,Pine"
235,Boss Hogg,402,"Earthy, Woody, Lemon","Relaxed, Hungry, Happy, Creative, Uplifted","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.5,"Earthy,Sweet,Pungent"
236,Brains Damage,404,"Pine, Diesel, Menthol","Relaxed, Hungry, Happy, Sleepy","Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms",indica,4.4,"Earthy,Woody,Sweet"
237,Brainstorm Haze,405,"Earthy, Spicy/Herbal, Pepper","Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",sativa,3.9,"Sweet,Minty,Earthy"
238,Brainwreck,406,"Earthy, Citrus, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Lack of Appetite, Eye Pressure",hybrid,4.7,"Citrus,Earthy,Sweet"
239,Brand X,407,"Earthy, Pine, Tar","Relaxed, Hungry, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea",indica,5.0,"Earthy,Pine,Tar"
241,Brian Berry Cough,410,"Berry, Sweet, Sage","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Berry,Tropical,Sweet"
242,Brooklyn Mango,413,"Mango, Tropical, Citrus","Euphoric, Happy, Uplifted, Giggly, Aroused","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.9,"Mango,Tropical,Citrus"
243,Bruce Banner,414,"Earthy, Sweet, Diesel","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.6,"Earthy,Diesel,Pungent"
244,Bubba Kush,418,"Earthy, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Earthy,Sweet,Woody"
245,Bubba Tom Hayes,420,"Earthy, Pungent, Ammonia","Hungry, Euphoric, Happy, Energetic, Talkative","Depression, Stress, Fatigue",hybrid,4.9,"Earthy,Pungent,Ammonia"
246,Bubble Cheese,424,"Cheese, Earthy, Tropical","Relaxed, Euphoric, Happy, Creative, Sleepy","Headache, Headaches, Eye Pressure",indica,3.8,"Blue,Cheese,Cheese,Pungent"
247,Bubble Gum,425,"Sweet, Flowery, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.1,"Sweet,Flowery,Berry"
248,Bubbleberry,426,"Sweet, Berry, Blueberry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Spasticity",hybrid,4.4,"Sweet,Berry,Blueberry"
249,Bubblegum Kush,427,"Sweet, Earthy, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Sweet,Earthy,Flowery"
250,Bubblegun,428,"Pepper, Blueberry, Mint","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Nausea, Headache, Headaches",hybrid,3.8,"Pepper,Mint,Blueberry"
251,Bubblicious,429,"Sweet, Earthy, Rose","Relaxed, Hungry, Euphoric, Happy","Depression, Insomnia, Stress, Headaches, Muscle Spasms",hybrid,4.3,"Sweet,Blueberry,Berry"
252,Buckeye Purple,430,"Diesel, Grape, Berry","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Pain, Eye Pressure, Inflammation, Muscle Spasms",indica,4.3,"Tropical,Diesel,Grape"
253,Buddha Haze,431,"Spicy/Herbal, Earthy, Woody","Euphoric, Happy, Creative, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.6,"Sweet,Earthy,Nutty"
254,Buddha Tahoe,432,"Sweet, Pine, Lemon","Relaxed, Euphoric, Happy, Uplifted, Tingly","Insomnia, Pain, Stress, Headaches, Eye Pressure",indica,4.5,"Earthy,Pungent,Sweet"
255,Buffalo Bill,435,"Pine, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Cramps, Headache, Fatigue",sativa,4.2,"Earthy,Woody,Pine"
256,Burkle,437,"Earthy, Berry, Sweet","Relaxed, Happy, Uplifted, Tingly, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",indica,4.9,"Berry,Flowery,Pungent"
257,Burmese Kush,438,"Earthy, Sweet, Pine","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.2,"Earthy,Pine,Pungent"
258,Butterscotch,440,"Nutty, Tar, Woody","Relaxed, Euphoric, Creative, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.3,"Pine,Citrus,Nutty"
259,C13 Haze,441,"Earthy, Pungent, Chestnut","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",sativa,4.4,"Earthy,Pungent,Lemon"
260,C4,444,"Earthy, Citrus, Lemon","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.5,"Earthy,Flowery,Lime"
